output_filename,room_x,room_y,room_z,micL_x,micL_y,micR_x,micR_y,mic_z,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,T60
1.wav,6.473325013435549,7.652933778026471,3.191520786947495,3.0086280524665066,3.8766193186763487,3.119017247522075,4.005902827350052,1.49070016959827,4.4522351147929005,4.2890441493048295,1.222032244035194,4.85550303821435,4.651219420786221,1.6776378931915898,0.550916210459212
2.wav,5.255968328102268,8.262093077328274,3.5517513686348754,2.6433578202816834,4.200887991341943,2.6906211104118256,4.0480279854343335,1.154689344771292,1.5452841400125132,4.98277778911755,1.6098306387110097,3.421832698803657,5.083879079833214,1.0358160249786095,0.2220965400863295
3.wav,8.59018596851823,6.461586772520693,3.198773872200343,4.350814858345679,3.235671234026256,4.5044622480209675,3.2803084342741418,0.9741057742912327,4.039940301349218,2.4757959306413464,1.0066250383911688,5.385401336245543,2.444991127822015,1.617540956995779,0.44078723695817584
4.wav,9.80393878233389,8.29602696188011,3.7187760832244345,5.013737558968576,4.219325940133722,4.985062635472592,4.386890103254896,1.0205511008182138,5.851489788084315,2.736996171088637,0.926241296867828,3.907063385494707,4.757564202976731,1.3685715571601986,0.1985745348331368
5.wav,5.652146411043095,9.921917654972361,3.0657023219180854,2.8853482233496415,5.073676281804944,2.830225449888709,4.912861233236799,1.7589040790012318,3.432958156532522,4.478845787633179,0.9141265736558494,3.0546399385848435,3.278433746800511,1.6848394073578534,0.2832220172779111
6.wav,6.369065964588922,6.181905631912997,3.3105198436453875,3.3212106233297303,2.8619359050051436,3.2203699483939707,2.986158118310576,1.507937798703984,3.6181219948864536,1.374003402155373,1.2179531266025576,3.29855574389383,3.878700699726168,1.5546712640168079,0.4384766637413254
7.wav,7.2686873097110345,7.438386647342742,3.6408748294444946,3.402174913072613,3.7412599482842976,3.551447478529092,3.7560146492992743,1.76431121462164,4.896336752628329,3.641464067992891,1.6495838415621566,4.639510648788869,4.389277221056904,1.6839422946584661,0.8278518453924546
8.wav,8.66056021767317,9.118099935100076,3.7449792112168065,4.346057051695394,4.502928018544434,4.244953268454462,4.6269361836561345,1.6618873456053453,5.082764104339334,5.298526281647557,1.3688635331974508,5.303368450751384,3.8060983143769893,1.343792104727874,0.2008955035983182
9.wav,6.825618246952031,8.915030605460704,3.9479230192085657,3.235861791003648,4.596537206586348,3.293768466407386,4.447383537695213,1.047359077641151,1.3208654497262062,4.732190619201417,1.3866727006748638,2.646918433204243,3.0320334109532725,0.9332722328085343,0.5552682263823427
10.wav,5.942921040165658,8.910138790140223,3.6439261219721386,2.998974821192038,4.548505127407446,2.932265407855137,4.7048696188121335,1.1428932714256466,3.110091451886947,6.211472265652728,1.7579724226569322,1.7134511382278654,3.9065440220296983,1.0414885881905502,0.3700961856346344
11.wav,6.175109571606201,8.002536633098682,3.3606084225042037,2.9785763834521783,3.8584720066728257,2.931631946836378,4.021861785639642,1.0930653177171976,3.835382898605477,5.418873566554092,1.5753276436610362,3.0358838059430355,4.670615264724203,1.4850867883453822,0.24364835278497288
12.wav,7.400247317502773,6.688073338286882,3.3897062893217313,3.923874380084638,3.320522225680943,3.763410692494137,3.3766596015089796,1.6872210128842404,1.931590211641459,3.4322850518736026,1.4404664480020406,4.745949425226675,3.0937362168983733,1.7881294132632126,0.5317515373413813
13.wav,7.689447298459009,5.417688101930059,3.31388748900193,3.6121728615126742,2.590049304816839,3.7621651963299994,2.5915657137483166,1.1929665566810521,3.560206436331277,4.423361808311607,1.3771230952975726,4.8581690087466,3.9456645187473747,1.2602016092603696,0.21369705731115946
14.wav,5.930206062800279,5.068579666465157,3.59278905574763,2.781432096271798,2.6430118725267944,2.761346152200333,2.49436277279606,1.2677966111841523,3.5534814820549547,2.094831063072308,1.4311983346967412,2.574507463036446,1.7013519042056315,1.114601452977873,0.9530830859496369
15.wav,8.606369333747809,8.384614895438345,3.986810556343049,4.391902072233885,4.173276291783639,4.2462634187119175,4.209184265832706,1.7083146402046108,4.642477905429422,3.612503511787234,1.4015350060077916,3.9422510708000704,2.3157916925561466,1.7622763279760028,0.8554902941194247
16.wav,6.319471129451625,5.678757661338376,3.9015894457842273,3.0892654834239015,3.0153678609602363,3.243064244361047,2.9429389914799056,0.9497674417275512,3.8090602877423247,2.299616344888358,1.524630592479888,2.607609397939644,2.4881964594950685,1.6553562837657987,0.1067564612215981
17.wav,8.063075496221304,9.629085465131134,3.151460793522386,4.1576336851767985,4.752366144821228,4.087790904215978,4.5973758678756775,1.6559566561454249,3.366788715464482,5.586255407550548,1.2581479466996246,4.751605226723151,6.559606500318031,1.2323279791534625,0.2538788449302666
18.wav,7.227352286113856,7.781351024914465,3.7638007314854574,3.7726191539665535,4.080666176949492,3.854559839066996,3.9550249252633116,1.2950623275547086,4.620361967445579,3.2550966982956924,1.576404544881997,3.060602967543265,3.8925403303261183,1.5057606804340278,0.395048371275583
19.wav,7.619813090925556,9.29433519267274,3.335648674229673,3.748085152779827,4.678822499159817,3.579852283496509,4.703270437573969,1.494197961802417,3.9794805201102625,2.957751752174117,1.748567018226609,3.2789802685980654,5.8215726102255365,1.523985488039234,0.7356403290930782
20.wav,7.579233598374065,6.113496157974073,3.649859925831116,3.945564887934289,3.010625782054791,3.775570035517248,3.011948715049452,1.1352710107009507,4.3782580749907,3.883546092938226,1.6048781698753585,5.108407577145556,2.634411465059586,1.2265542905955478,0.22060716908133532
21.wav,5.047557415375854,8.840897603730063,3.9658868295212897,2.615955228267749,4.482531396873086,2.58024075607492,4.6282176229755825,0.9927197863653605,3.157898376954548,5.658460843197984,1.7103398999058939,2.928889519102817,6.068074723884747,1.1405213095506697,0.2621152536243967
22.wav,8.26543703302613,8.546754440295082,3.0620527200825487,4.345663382084735,4.117317298557009,4.300597021247774,4.270839359254855,1.491191647915181,3.822408926514751,2.4311841631970794,1.496961299541617,3.499678986307565,5.202570503098901,1.7589308776687511,0.7655023001833656
23.wav,9.284876651294837,9.402134301782144,3.1792057708818557,4.592801637107654,4.571577487787064,4.465553152145136,4.458848507153228,1.035439675675331,6.385542023129049,4.282150673490589,1.358920679555463,4.027291624890684,3.3614306291392193,1.0116541131308148,0.47954436498655745
24.wav,7.196979448910144,8.278935095874834,3.796950377855355,3.6387809990479156,4.143949942023352,3.5969136206289964,3.979186103077038,1.19628950805488,2.204215785828266,5.03292647873427,1.5388797396698601,3.38259107168645,5.080157428941927,1.1999844100305497,0.20108519412578013
25.wav,9.609099092878276,8.608524899247996,3.266955691992485,4.6297996114560105,4.206879364691752,4.609251173532921,4.3554652378389695,1.1607840786360801,5.086354523136086,5.3831723295867855,1.6994848201714745,3.6649694245707565,5.741364045080047,1.1589221289842937,0.2239784934363712
26.wav,8.856093456197533,8.51055968222952,3.879155167173016,4.4138757918025355,4.105242444217196,4.512460659175549,4.23126237885075,1.4439579596124301,5.082524637692396,4.606658392481033,1.27124728414523,3.8396048593445,5.08975798735673,1.3438950297400347,0.1632590249863237
27.wav,5.986750636830928,7.192050824729103,3.1898164237366906,3.0017825239858595,3.5093862607641033,3.133957976263484,3.5995508314956575,1.2290765431324608,2.5650490028818447,2.870809876849629,1.005268098055533,1.3418865343054773,3.8415846633196384,0.9667056474176404,0.6613716834641468
28.wav,7.479066873899284,7.1301618656088905,3.1007651724961263,3.9939484701250048,3.537879472835609,3.8348259084745346,3.554612983339757,1.7233021934701833,5.076826603318631,3.1758516788715507,1.2552839749366376,4.906582953376423,4.220610081802162,1.6402182262445195,0.32040112663835085
